iteration	likelihood	prior	σ²	 m 	 α 
10	3285.413428334498	-5.471136921377677	0.3148551828383676	0.1	0.1
20	3188.8295747863094	-5.839484540480626	0.35168994474866344	0.1	0.1
30	3185.306801570226	-6.234555126227385	0.3911970033233393	0.1	0.1
40	3089.1266063381286	-6.737852519217289	0.44152674262233	0.1	0.1
50	3086.069796492585	-6.607427680769003	0.42848425877750157	0.1	0.1
60	3258.141595434324	-5.443586274496996	0.3121001181503006	0.1	0.1
70	3136.529823100146	-6.127171300074907	0.3804586207080916	0.1	0.1
80	3172.208347421121	-5.983926703463818	0.3661341610469832	0.1	0.1
90	3182.0994665584262	-6.255243809274852	0.39326587162808696	0.1	0.1
100	3228.001019263997	-5.866977513198001	0.3544392420204021	0.1	0.1
110	3191.404918611297	-5.68271539543973	0.33601303024457446	0.1	0.1
120	3234.092577753578	-5.910980477822186	0.35883953848282024	0.1	0.1
130	3169.013263761373	-6.2576744161871325	0.3935089323193151	0.1	0.1
140	3073.030415575432	-7.1357209056223985	0.48131358126284146	0.1	0.1
150	3032.822353694855	-7.065486990678319	0.4742901897684334	0.1	0.1
160	3198.3394352739583	-6.045510883740037	0.3722925790746052	0.1	0.1
170	3188.9407034686424	-6.2029868077668215	0.3880401714772835	0.1	0.1
180	3203.639101249622	-5.698971020701396	0.3376385927707413	0.1	0.1
190	3122.1650573270767	-6.313735182872229	0.3991150089878251	0.1	0.1
200	3157.9428913336833	-6.237676289602678	0.3915091196608697	0.1	0.1
210	3197.6225373117945	-5.8378028801974295	0.35152177872034457	0.1	0.1
220	3228.1669204794266	-6.162120059972582	0.38395349669785983	0.1	0.1
230	3149.648787073688	-6.368033408049407	0.4045448315055431	0.1	0.1
240	3108.4521069368	-6.484370222303933	0.4161785129309954	0.1	0.1
250	3240.5472541814106	-5.568914990910929	0.3246329897916949	0.1	0.1
260	3265.797413130902	-5.68519983899443	0.3362614746000455	0.1	0.1
270	3290.6214054344578	-5.698460999561345	0.3375875906567369	0.1	0.1
280	3256.004558258098	-5.530406254177855	0.32078211611838786	0.1	0.1
290	3267.6382554877396	-5.72418556859181	0.3401600475597835	0.1	0.1
300	3197.873796124925	-6.011830997455448	0.36892459044614745	0.1	0.1
310	3298.3629844947327	-5.362807092620697	0.30402219996267255	0.1	0.1
320	3366.2611355381164	-4.999983733046413	0.26773986400524397	0.1	0.1
330	3352.4513423804938	-5.207001478238859	0.28844163852448895	0.1	0.1
340	3194.4041729797527	-5.971274960852991	0.36486898678590257	0.1	0.1
350	3158.62438891768	-6.1753390902362115	0.3852753997242243	0.1	0.1
