iteration	likelihood	prior	σ²	 m 	 α 
10	715.0155480123458	-3.4590466170155816	0.11564615240215823	0.0	0.0
20	686.8089648792449	-3.782812408175956	0.1480227315181958	0.0	0.0
30	699.5009730234946	-3.5284723741715243	0.12258872811775272	0.0	0.0
40	703.1219101331562	-3.611774449596107	0.13091893566021112	0.0	0.0
50	695.7970471480917	-3.590427271631973	0.1287842178637977	0.0	0.0
60	688.3443867301626	-3.7607589769134604	0.14581738839194608	0.0	0.0
70	703.0941588858379	-3.5459727060869626	0.12433876130929633	0.0	0.0
80	642.6015773307352	-4.551536763559528	0.22489516705655296	0.0	0.0
90	625.439257361144	-4.48034126636183	0.21777561733678308	0.0	0.0
100	703.2430337011448	-3.6661892569696644	0.13636041639756627	0.0	0.0
110	696.74241013419	-3.4691949182777506	0.11666098252837487	0.0	0.0
120	675.016045947452	-3.700069426561561	0.13974843335675602	0.0	0.0
130	645.761653752257	-4.336950059874732	0.2034364966880729	0.0	0.0
140	657.6169188112028	-4.197735246623979	0.1895150153629975	0.0	0.0
150	688.5074446648491	-3.7274672577953165	0.14248821648013132	0.0	0.0
160	612.980030137443	-4.866638631109111	0.25640535381151075	0.0	0.0
170	621.7988424519797	-4.560722954457619	0.2258137861463617	0.0	0.0
180	650.3699342243114	-3.919848862548872	0.16172637695548706	0.0	0.0
190	635.7792226676634	-4.324891974929833	0.2022306881935833	0.0	0.0
200	673.9475904002052	-3.924930615848757	0.1622345522854757	0.0	0.0
210	676.7900697016217	-3.925262547863149	0.162267745486915	0.0	0.0
220	669.2917546129971	-3.8037330389740083	0.15011479459800092	0.0	0.0
230	698.9256025649885	-3.583853971611043	0.12812688786170434	0.0	0.0
240	699.536220962736	-3.5922486663822424	0.12896635733882417	0.0	0.0
250	652.4244481771144	-4.22290294094894	0.1920317847954941	0.0	0.0
260	623.325412600341	-4.587459985995804	0.22848748930018065	0.0	0.0
270	611.5061290360806	-5.326970763926911	0.3024385670932917	0.0	0.0
280	636.7179691172671	-4.335874879748263	0.20332897867542712	0.0	0.0
290	685.8496317329125	-3.870631035329625	0.15680459423356322	0.0	0.0
300	638.8210979041669	-4.045542647899912	0.17429575549059204	0.0	0.0
310	642.6883509404678	-4.180390674905329	0.18778055819113357	0.0	0.0
