iteration	likelihood	prior	σ²	 m 	 α 
100	-82.64678816892234	-47.231603084577344	403.03847805594876	0.1	0.1
200	-86.94763774102363	-44.03651299191488	371.08757712932385	0.1	0.1
300	-81.48761283800624	-48.95042486113493	420.22669582152383	0.1	0.1
400	-75.36517610627467	-50.10260137925391	431.74846100271384	0.1	0.1
500	-127.87708576943548	-58.57020986693548	516.4245458795301	0.1	0.1
600	-97.30256710585674	-48.756317836048325	418.2856255706589	0.1	0.1
700	-71.09289243852812	-46.83314576391615	399.0539048493376	0.1	0.1
800	-66.00814489309116	-48.826651580685265	418.9889630170289	0.1	0.1
900	-76.09481471881462	-47.0139692584489	400.8621397946648	0.1	0.1
1000	-64.60906557138213	-44.845275420089486	379.1752014110707	0.1	0.1
1100	-63.435077452115785	-47.99031430553904	410.62559026556676	0.1	0.1
1200	-79.70386206648423	-47.97694772625371	410.49192447271366	0.1	0.1
1300	-54.911302850806315	-41.01811113330339	340.9035585432102	0.1	0.1
1400	-57.646633078890666	-47.09437132679783	401.6661604781538	0.1	0.1
1500	-77.24291799799806	-53.19487420741318	462.6711892843073	0.1	0.1
1600	-23.614633681393286	-37.83874188521209	309.10986606229665	0.1	0.1
1700	-83.5089998559101	-52.72909268150687	458.01337402524405	0.1	0.1
1800	-84.12565092887927	-46.222065259764236	392.94309980781736	0.1	0.1
1900	-68.58123060749494	-53.07159602754207	461.43840748559586	0.1	0.1
2000	-55.94618187941295	-50.218550073326945	432.90794794344464	0.1	0.1
2100	-74.65497830731404	-45.08990628599336	381.6215100701086	0.1	0.1
2200	-72.60108143802374	-48.918613449577705	419.9085817059514	0.1	0.1
2300	-18.934550746210096	-36.621178145518044	296.93422866535485	0.1	0.1
2400	-84.78302578530955	-47.023416746171506	400.9566146718902	0.1	0.1
2500	-79.85909129559762	-49.73331023168745	428.0555495270499	0.1	0.1
2600	-97.58922876251222	-51.30378232254552	443.76027043563045	0.1	0.1
2700	-71.72553433848199	-44.878700772201704	379.5094549321915	0.1	0.1
2800	-64.81472083720348	-49.83357841967243	429.05823140689915	0.1	0.1
2900	-68.65905900853429	-44.874856845203134	379.471015662206	0.1	0.1
3000	-51.73223490224429	-47.60737656363743	406.79621284654837	0.1	0.1
3100	-96.74318609448848	-52.478353353406824	455.50598074424255	0.1	0.1
3200	-66.114254473463	-47.58751473183738	406.5975945285481	0.1	0.1
3300	-62.40713223438319	-51.66364340469257	447.3588812571003	0.1	0.1
3400	-84.7456377754692	-53.60427022984881	466.7651495086621	0.1	0.1
3500	-52.35892409253128	-47.071805317052146	401.4405003806955	0.1	0.1
3600	-108.48254218179173	-60.99174736156123	540.6399208257857	0.1	0.1
3700	-90.53332227976797	-52.953572126810315	460.2581684782764	0.1	0.1
